cname,ccodealp,epi_ehair,epi_ehwater,imf_gdpppps,wdi_hepcusd11,wdi_smokfem,wdi_smokmal,wdi_tubcdr,wdi_tubinc,wdi_tubtsr,wef_bit
Afghanistan,AFG,64.33999634,7.690000057,0.035999998,159.0973663,,,51,189,88,
Albania,ALB,66.29000092,55.90999985,0.032000002,506.3071899,8.199999809,52.09999847,89,16,92,6.692708015
Algeria,DZA,99.27999878,46.13000107,0.328000009,781.0632324,,,70,83,90,5.216448307
Andorra,AND,97.37000275,100,,3907.455811,28.39999962,38.5,130,8.699999809,100,
Angola,AGO,79.26999664,11.76000023,0.144999996,253.0362701,,,60,380,45,3.160000086
Antigua and Barbuda,ATG,100,61.00999832,0.002,1124.683472,,,51,6.599999905,50,
Azerbaijan,AZE,85.76999664,30.65999985,0.115999997,878.4023438,0.400000006,48.59999847,72,95,83,4.693859577
Argentina,ARG,99.63999939,75.69999695,0.893000007,1550.05835,20.79999924,31.79999924,87,24,56,6.256404877
Australia,AUS,98.33000183,100,1.149000049,4042.350098,14.69999981,18.39999962,88,6.5,82,6.316665649
Austria,AUT,74.29000092,100,0.435000002,4812.307617,35.90000153,37.40000153,87,8.5,69,6.637895107
Bahamas,BHS,98.33000183,51.95000076,0.013,1703.273438,,,70,12,84,
Bahrain,BHR,75.20999908,93.40000153,0.046,1651.022583,6.900000095,40.09999847,80,21,44,5.890816689
Bangladesh,BGD,14.30000019,22.55999947,0.352999985,85.16158295,1.100000024,43.70000076,48,225,92,5.300788879
Armenia,ARM,67.44000244,66.30000305,0.022,332.4909973,1.700000048,54.79999924,76,53,81,5.259184837
Barbados,BRB,100,73.12000275,0.009,1406.669434,1.100000024,13.19999981,87,1.600000024,100,5.843816757
Belgium,BEL,68.65000153,100,0.514999986,4345.446289,20.89999962,28,88,9.300000191,77,6.531157494
Bhutan,BTN,42.31000137,38.97999954,0.005,263.776886,,,84,180,92,4.256000996
Bolivia,BOL,89.84999847,24.45999908,0.064000003,332.0087585,18.60000038,33.59999847,64,127,84,3.194139481
Bosnia and Herzegovina,BIH,68.90000153,72.15000153,0.039000001,934.4445801,31.20000076,49,72,51,84,6.611460686
Botswana,BWA,87.66999817,42.36000061,0.037,814.0811157,,,72,445,76,3.656472683
Brazil,BRA,97.76000214,50.43999863,2.859999895,1387.815063,12.39999962,21,82,45,72,5.779767513
Belize,BLZ,95.87999725,62.49000168,0.004,458.0404053,,,68,37,55,4.606505871
Solomon Islands,SLB,70,15.13000011,0.002,111.8085938,,,68,97,88,
Brunei,BRN,94.26000214,73.93000031,0.027000001,1677.60083,3.400000095,29.20000076,97,62,71,4.792862415
Bulgaria,BGR,74.91000366,95.01999664,0.126000002,1171.052612,30.39999962,45.20000076,90,32,87,5.431470871
Myanmar,MMR,49.81000137,30.69000053,0.119000003,34.81409454,7.699999809,35.20000076,71,376,89,3.72299099
Burundi,BDI,61.31999969,16.62999916,0.006,62.468853,,,51,133,89,2.951034307
Belarus,BLR,79.61000061,73.66000366,0.177000001,866.9354858,11,49.40000153,78,64,85,
Cambodia,KHM,66.37999725,10.52000046,0.041999999,208.6220551,3.5,45.20000076,66,411,94,4.57557106
Cameroon,CMR,73.55999756,16.17000008,0.059,129.966095,0.899999976,33.70000076,47,242,79,4.559789181
Canada,CAN,97.37000275,95.90000153,1.79400003,4609.730957,14.19999981,19.5,93,5.099999905,79,6.346475601
Cape Verde,CPV,89.33000183,29.29000092,0.003,291.4425964,3.900000095,20.20000076,58,144,86,5.00280714
Central African Republic,CAF,66.55999756,10.65999985,0.005,35.62737656,,,46,378,68,
Sri Lanka,LKA,71.40000153,48.84999847,0.144999996,269.8703003,0.5,28.79999924,68,66,86,6.09198904
Chad,TCD,70.55000305,2.910000086,0.030999999,72.9515152,,,55,151,69,3.012123108
Chile,CHL,96.55999756,79.73999786,0.372000009,1609.920898,37.40000153,41.70000076,87,16,44,5.886735916
China,CHN,18.34000015,33.15000153,14.09500027,577.8502197,2,49,91,73,95,5.136749744
Taiwan,TWN,77.69999695,100,1.093999982,,,,,,,
Colombia,COL,95.08999634,39.91999817,0.592000008,808.0802002,6.900000095,17.20000076,78,33,72,4.853413105
Comoros,COM,76.33000183,31.77000046,0.001,99.30835724,7.099999905,24.39999962,48,34,87,
Congo,COG,73.48999786,10.27000046,0.022,227.7810059,1.700000048,32.09999847,69,382,70,
Congo. Democratic Republic,COD,58.77000046,4.389999866,,25.33771133,,,47,327,88,
Costa Rica,CRI,97.87999725,59.56999969,0.068999998,1350.269043,9.199999809,19.79999924,86,12,86,6.188563347
Croatia,HRV,76.26000214,77.70999908,0.097999997,1476.55603,32.29999924,39.40000153,80,16,9,6.659083366
Cuba,CUB,97,51.75,,1744.527954,19.79999924,53.20000076,69,9.300000191,85,
Cyprus (1975-),CYP,85.79000092,100,0.029999999,2261.427734,,,100,5.300000191,43,5.979995251
Czech Republic,CZE,73.56999969,97.91000366,0.356000006,2037.664185,28.89999962,38,94,5.699999809,75,5.78601265
Benin,BEN,66.43000031,11.43999958,0.017999999,85.21273041,1.100000024,16.39999962,60,66,90,4.336139679
Denmark,DNK,92.34999847,100,0.257999986,4615.45166,19,21,90,6.699999809,64,6.794379711
Dominica,DMA,99.66999817,43.97999954,0.001,577.0653076,,,87,11,100,
Dominican Republic,DOM,97.55000305,31.68000031,0.115999997,606.9552002,10.30000019,19.10000038,68,62,82,5.282774925
Ecuador,ECU,99.08999634,50.06999969,0.177000001,670.6676025,3.599999905,15.10000038,60,59,75,4.855519772
El Salvador,SLV,92.66999817,32.43000031,0.056000002,507.6516418,,,92,37,93,4.786015511
Equatorial Guinea,GNQ,74.20999908,25.18000031,,1233.073364,,,86,144,62,
Ethiopia (1993-),ETH,66.84999847,3.529999971,0.123999998,60.68706894,0.5,8.899999619,66,239,91,3.683615923
Eritrea,ERI,78.19999695,5.53000021,,35.74201202,,,60,107,87,
Estonia,EST,96.20999908,77.66999817,0.035,1415.653564,25.39999962,43.59999847,83,24,74,5.923835278
Fiji,FJI,87.66999817,51.93999863,0.005,305.7143555,12.80000019,40.59999847,45,53,86,
Finland,FIN,98.33000183,100,0.243000001,3497.033691,19.60000038,25,81,6,44,6.820605278
France (1963-),FRA,88.33000183,100,2.770999908,4213.231934,25.79999924,31.10000038,82,9,,6.270261765
Djibouti,DJI,93.38999939,33.11000061,,251.5028229,,,66,620,31,
Gabon,GAB,91.08999634,21.87999916,0.032000002,670.3703613,,,70,436,54,3.839412928
Georgia,GEO,70.23999786,64.38999939,0.030999999,644.2400513,5.800000191,58.59999847,80,119,85,4.894492149
Gambia,GMB,69.66999817,31.26000023,0.004,98.04754639,,,74,175,85,4.546989441
Germany,DEU,76.62999725,100,3.887000084,4634.896973,28.70000076,33.59999847,87,5.800000191,74,6.555047989
Ghana,GHA,69.23999786,17.77000046,0.094999999,195.2539978,0.5,12.10000038,33,173,84,4.132304668
Kiribati,KIR,84.66999817,11.23999977,0.001,183.5225525,42.59999847,67.30000305,76,429,89,
Greece,GRC,85.51000214,87.76000214,0.361999989,2354.837158,34.20000076,54.29999924,91,5.099999905,,6.406391144
Grenada,GRD,100,51.93000031,0.002,692.819458,,,40,2.400000095,100,
Guatemala,GTM,80.51999664,42.36999893,0.093999997,456.5984192,,,37,60,88,5.642568588
Guinea,GIN,67.55000305,10.90999985,0.015,55.7726593,,,55,180,82,3.359092951
Guyana,GUY,97.55000305,45.77999878,0.007,403.9750671,,,90,109,65,4.887336254
Haiti,HTI,69.66999817,8.369999886,0.015,117.0056839,2.700000048,21.20000076,76,213,81,4.154809475
Honduras,HND,82.76000214,36.38000107,0.045000002,425.2949219,2.400000095,37.20000076,82,48,89,5.172619343
Hungary,HUN,66.37999725,99.98999786,0.243000001,1765.542603,26.5,34.5,91,13,70,6.193223953
Iceland,ISL,98.33000183,100,0.015,3484.906494,16.89999962,19.29999924,82,3.799999952,90,6.675128937
India,IND,23.43000031,26.28000069,5.657000065,195.5734406,2.400000095,22.79999924,58,176,88,4.589831829
Indonesia,IDN,76.62999725,24.29000092,1.402999997,273.3479004,4,71.80000305,33,407,86,3.939154625
Iran,IRN,91.51999664,75.20999908,1.243000031,1217.645386,1.100000024,22.89999962,70,21,87,5.607390404
Iraq,IRQ,68.09999847,34.86999893,0.273000002,629.126709,,,59,45,91,
Ireland,IRL,98.33000183,90.47000122,0.231000006,3817.38208,23.5,24.20000076,82,8.899999619,61,6.496049404
Israel,ISR,83.01999664,100,0.312999994,2314.01001,20.10000038,41.70000076,120,5.599999905,81,5.98396492
Italy,ITA,79.22000122,63.50999832,2.301000118,3153.184082,19.79999924,29.10000038,79,6.599999905,,6.392438889
Cote d'Ivoire,CIV,73.63999939,14.77000046,0.045000002,180.7909088,,,63,178,79,4.420506477
Jamaica,JAM,96.33000183,41.25999832,0.030999999,437.0376282,6.400000095,29.5,63,5.199999809,65,5.751401901
Japan,JPN,84.08000183,100,5.56400013,3631.807129,11.30000019,36.29999924,87,19,54,5.559239864
Kazakhstan,KAZ,95.55999756,63.47999954,0.270999998,974.4498291,9.699999809,46.29999924,85,126,86,4.434109688
Jordan,JOR,86.56999969,69.05999756,0.046,827.8401489,10,63.59999847,82,5.800000191,90,6.230252266
Kenya,KEN,73.33000183,7.920000076,0.089000002,97.58737946,2.299999952,25.70000076,81,271,86,3.721605539
Korea. North,PRK,32.31000137,54.20999908,,,,,89,417,92,
Korea. South,KOR,61.38000107,85.91999817,1.937999964,2244.01001,4.400000095,51.70000076,92,96,81,5.35603857
Kuwait,KWT,67.01999664,91.69000244,0.175999999,2248.9021,,,81,27,82,5.623046875
Kyrgyzstan,KGZ,86.62999725,47.11000061,0.016000001,208.5770111,3.799999952,50.20000076,79,140,85,4.836800098
Laos,LAO,35.43999863,17.5,0.022,85.64256287,10.69999981,59.79999924,31,204,90,3.693320036
Lebanon,LBN,82.70999908,88.69000244,0.079000004,1149.890503,29.39999962,43,82,16,71,5.988432407
Lesotho,LSO,79.66999817,13.93999958,0.005,295.3258057,0.400000006,50.09999847,53,985,71,3.041562557
Latvia,LVA,93.77999878,53.68999863,0.043000001,1256.065308,24.39999962,50.5,95,50,87,5.449373722
Liberia,LBR,67.20999908,11.22000027,0.003,74.96343994,2.700000048,25.39999962,63,304,79,4.435986042
Libya,LBY,96.04000092,37.24000168,0.127000004,1172.542358,,,62,40,60,4.948161125
Liechtenstein,LIE,,,,,,,,,,
Lithuania,LTU,82.77999878,43.81000137,0.077,1582.844116,21.89999962,40.5,80,68,80,5.582926273
Luxembourg,LUX,82.06999969,100,0.050999999,6379.496094,22.29999924,27.39999962,120,6.800000191,0,6.559218407
Madagascar,MDG,67.33000183,2.430000067,0.026000001,46.22237778,,,49,236,82,4.584794521
Malawi,MWI,67.66999817,22.44000053,0.017000001,90.75551605,6.599999905,26.60000038,44,294,82,3.377951145
Malaysia (1966-),MYS,93.30000305,77.20999908,0.579999983,894.4240112,1.600000024,44.90000153,82,92,78,5.030334949
Maldives,MDV,,77,0.004,1283.380249,,,82,39,79,
Mali,MLI,67.33000183,8.18999958,0.022,98.42953491,3.400000095,32.59999847,56,61,93,4.434388161
Malta,MLT,98.33000183,100,0.014,2530.002441,21.5,31.5,86,12,24,5.740065098
Mauritania,MRT,80.66999817,4.519999981,0.009,122.5794678,4,38.90000153,57,121,68,4.665269375
Mauritius,MUS,100,71.26999664,0.024,816.6207886,3.5,41.29999924,48,21,91,5.674627304
Mexico,MEX,87.43000031,46.20000076,2.140000105,1061.874878,7.599999905,23.29999924,81,21,80,5.959614277
