".","breastCancerAll","breastCancer100th","meanSugarPerson","sugarConsumption","meanFoodPerson","foodCountryMean","meanCholesterol","cholesterolInBlood"
"Albania","843","57.4","48.730714285714","1","2600.1388095238","1","4.971775","0"
"Algeria","2880","23.5","67.18880952381","2","2420.2092857143","0","4.9318129565217","0"
"Angola","905","23.1","33.010476190476","1","1758.630952381","0","4.6280470434783","0"
"Argentina","17017","73.9","111.41666666667","3","3136.7047619048","1","5.2695294347826","1"
"Australia","11176","83.2","141.88214285714","4","3105.945","1","5.5669773478261","1"
"Austria","4635","70.5","115.85285714286","3","3396.7033333333","1","5.6238430434783","1"
"Bahamas","81","54.4","116.17904761905","3","2544.9111904762","1","5.3274192173913","1"
"Barbados","109","62.5","153.49047619048","4","2910.090952381","1","5.1010264347826","0"
"Belgium","7429","92","109.32857142857","3","3355.36","1","5.7604815217391","1"
"Belize","21","29.8","122.96238095238","4","2431.1933333333","0","4.8684336521739","0"
"Bolivia","765","24.7","75.732142857143","2","2011.0580952381","0","4.8155772608696","0"
"Botswana","170","33.4","55.381904761905","1","2093.7866666667","0","4.7592139130435","0"
"Brazil","37528","46","129.61738095238","4","2608.065","1","4.8769064347826","0"
"Brunei","28","20.6","108.28523809524","3","2467.6773809524","0","5.2640721304348","1"
"Bulgaria","2928","46.2","88.583809523809","2","3321.6883333333","1","5.2765950869565","1"
"Burkina Faso","1177","30.6","7.8285714285714","0","2016.1366666667","0","4.2850460434783","0"
"Cambodia","1032","21.5","15.004761904762","0","1892.3680952381","0","4.3887092608696","0"
"Cameroon","1593","29.7","14.352380952381","0","2100.22","0","4.541753","0"
"Canada","19540","84.3","126.9430952381","4","3056.5704761905","1","5.4497683913043","1"
"Cape Verde","47","28.1","79.714523809524","2","2130.0542857143","0","4.5267822173913","0"
"Central African Rep.","230","16.5","12.65619047619","0","2104.9847619048","0","4.4825867826087","0"
"Chad","431","16.5","16.505238095238","0","1856.9597619048","0","4.3390253043478","0"
"Chile","3668","43.9","104.6319047619","3","2640.97","1","5.1135645652174","0"
"China","126227","18.7","13.504285714286","0","2280.3204761905","0","4.3017946521739","0"
"Colombia","5526","30.3","137.18571428571","4","2265.7614285714","0","4.9988574347826","0"
"Comoros","45","19.5","15.265714285714","0","1851.4602380952","0","4.5139066086957","0"
"Congo, Dem. Rep.","1641","10.3","6.1323809523809","0","2109.7142857143","0","4.3208240869565","0"
"Congo, Rep.","243","20.6","16.961904761905","0","2049.7497619048","0","4.719746","0"
"Costa Rica","543","30.9","156.35880952381","4","2504.2154761905","0","4.8949203478261","0"
"Cote d'Ivoire","1437","26","24.072857142857","0","2570.4007142857","1","4.5457495652174","0"
"Cuba","2203","31.2","158.38285714286","4","2698.5852380952","1","4.9143027391304","0"
"Cyprus","349","67.2","88.322619047619","2","2932.234047619","1","5.401830173913","1"
